date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:35:59	24864/24864	---M--	200	added ('OK')	image/png	etag:%22baca721a86c27f119f25fc4fb7d088bd%22	https://static.wixstatic.com/media/ea26fd_3d5a758efbad4280b84b50574359b097~mv2.png/v1/fill/w_118,h_118,al_c,usm_0.66_1.00_0.01,blur_3/ea26fd_3d5a758efbad4280b84b50574359b097~mv2.png	E:/Survey-Point-Project/static.wixstatic.com/media/ea26fd_3d5a758efbad4280b84b50574359b097_mv2.png/v1/fill/w_118,h_118,al_c,usm_0.66_1.00_0.01,blur_3/ea26fd_3d5a758efbad4280b84b50574359b097_mv2.png	(from https://shilpakini1508.wixsite.com/mysite-1)
12:35:59	26429/26429	---M--	200	added ('OK')	image/png	etag:%22347db30979d1a220e87fedc24d1022b6%22	https://static.wixstatic.com/media/ea26fd_f38487d4414a4a248b1dee9a805fd83d~mv2.png/v1/fill/w_118,h_118,al_c,usm_0.66_1.00_0.01,blur_3/ea26fd_f38487d4414a4a248b1dee9a805fd83d~mv2.png	E:/Survey-Point-Project/static.wixstatic.com/media/ea26fd_f38487d4414a4a248b1dee9a805fd83d_mv2.png/v1/fill/w_118,h_118,al_c,usm_0.66_1.00_0.01,blur_3/ea26fd_f38487d4414a4a248b1dee9a805fd83d_mv2.png	(from https://shilpakini1508.wixsite.com/mysite-1)
12:36:00	23257/23257	---M--	200	added ('OK')	image/png	etag:%2248c94bcced870c0d0a21a32415b2ac18%22	https://static.wixstatic.com/media/ea26fd_37c52f37567f4159acd6e41c32984c6b~mv2.png/v1/fill/w_118,h_118,al_c,usm_0.66_1.00_0.01,blur_3/ea26fd_37c52f37567f4159acd6e41c32984c6b~mv2.png	E:/Survey-Point-Project/static.wixstatic.com/media/ea26fd_37c52f37567f4159acd6e41c32984c6b_mv2.png/v1/fill/w_118,h_118,al_c,usm_0.66_1.00_0.01,blur_3/ea26fd_37c52f37567f4159acd6e41c32984c6b_mv2.png	(from https://shilpakini1508.wixsite.com/mysite-1)
12:36:00	24665/24665	---M--	200	added ('OK')	image/png	etag:%2293b201a025a6a543a6eea7dfe7767c64%22	https://static.wixstatic.com/media/ea26fd_30b07ba3f0f94b5782253746302a0eb4~mv2.png/v1/fill/w_118,h_118,al_c,usm_0.66_1.00_0.01,blur_3/ea26fd_30b07ba3f0f94b5782253746302a0eb4~mv2.png	E:/Survey-Point-Project/static.wixstatic.com/media/ea26fd_30b07ba3f0f94b5782253746302a0eb4_mv2.png/v1/fill/w_118,h_118,al_c,usm_0.66_1.00_0.01,blur_3/ea26fd_30b07ba3f0f94b5782253746302a0eb4_mv2.png	(from https://shilpakini1508.wixsite.com/mysite-1)
12:36:00	5139/5139	---M--	200	added ('OK')	image/png	etag:%22e60a6ddf7f65f69f6672cc8411e0c66e%22	https://static.wixstatic.com/media/ea26fd_f33d54dd9e724ea5a96d685fe4fc150d~mv2.png/v1/fill/w_112,h_63,al_c,blur_3/ea26fd_f33d54dd9e724ea5a96d685fe4fc150d~mv2.png	E:/Survey-Point-Project/static.wixstatic.com/media/ea26fd_f33d54dd9e724ea5a96d685fe4fc150d_mv2.png/v1/fill/w_112,h_63,al_c,blur_3/ea26fd_f33d54dd9e724ea5a96d685fe4fc150d_mv2.png	(from https://shilpakini1508.wixsite.com/mysite-1)
12:36:01	5473/5473	---M--	200	added ('OK')	image/png	etag:%222a3322a79d2ea0887302ffa155f51ac9%22	https://static.wixstatic.com/media/ea26fd_06e5432437c24ffb83c9712002bb77ae~mv2.png/v1/fill/w_112,h_63,al_c,blur_3/ea26fd_06e5432437c24ffb83c9712002bb77ae~mv2.png	E:/Survey-Point-Project/static.wixstatic.com/media/ea26fd_06e5432437c24ffb83c9712002bb77ae_mv2.png/v1/fill/w_112,h_63,al_c,blur_3/ea26fd_06e5432437c24ffb83c9712002bb77ae_mv2.png	(from https://shilpakini1508.wixsite.com/mysite-1)
12:36:01	6317/6317	---M--	200	added ('OK')	image/png	etag:%22a11cca2e73dbf38c2b6082067b438cfe%22	https://static.wixstatic.com/media/ea26fd_75d067b194c54a85b67922a887adf9f1~mv2.png/v1/fill/w_136,h_78,al_c,blur_3/ea26fd_75d067b194c54a85b67922a887adf9f1~mv2.png	E:/Survey-Point-Project/static.wixstatic.com/media/ea26fd_75d067b194c54a85b67922a887adf9f1_mv2.png/v1/fill/w_136,h_78,al_c,blur_3/ea26fd_75d067b194c54a85b67922a887adf9f1_mv2.png	(from https://shilpakini1508.wixsite.com/mysite-1)
12:36:02	6850/6850	---M--	200	added ('OK')	image/png	etag:%22883bf6556ce4e0428f3a32eef4c94a63%22	https://static.wixstatic.com/media/ea26fd_b13386b527b04a4ab2028ab854acea49~mv2.png/v1/fill/w_136,h_78,al_c,blur_3/ea26fd_b13386b527b04a4ab2028ab854acea49~mv2.png	E:/Survey-Point-Project/static.wixstatic.com/media/ea26fd_b13386b527b04a4ab2028ab854acea49_mv2.png/v1/fill/w_136,h_78,al_c,blur_3/ea26fd_b13386b527b04a4ab2028ab854acea49_mv2.png	(from https://shilpakini1508.wixsite.com/mysite-1)
12:36:02	5711/5711	---M--	200	added ('OK')	image/png	etag:%22066a44bad72dfd11eeab19f3ad2ef79b%22	https://static.wixstatic.com/media/ea26fd_58accf14c0934513af19a30e4fbf635e~mv2.png/v1/fill/w_170,h_53,al_c,blur_3/ea26fd_58accf14c0934513af19a30e4fbf635e~mv2.png	E:/Survey-Point-Project/static.wixstatic.com/media/ea26fd_58accf14c0934513af19a30e4fbf635e_mv2.png/v1/fill/w_170,h_53,al_c,blur_3/ea26fd_58accf14c0934513af19a30e4fbf635e_mv2.png	(from https://shilpakini1508.wixsite.com/mysite-1)
12:36:03	6229/6229	---M--	200	added ('OK')	image/png	etag:%22ac96817cd58376a839358075cd325d1b%22	https://static.wixstatic.com/media/ea26fd_3754f2d09c2c481a83373575a09fce7c~mv2.png/v1/fill/w_170,h_53,al_c,blur_3/ea26fd_3754f2d09c2c481a83373575a09fce7c~mv2.png	E:/Survey-Point-Project/static.wixstatic.com/media/ea26fd_3754f2d09c2c481a83373575a09fce7c_mv2.png/v1/fill/w_170,h_53,al_c,blur_3/ea26fd_3754f2d09c2c481a83373575a09fce7c_mv2.png	(from https://shilpakini1508.wixsite.com/mysite-1)
12:36:03	7818/7818	---M--	200	added ('OK')	image/png	etag:%22c5c36b2e242aa611b2ee7530ca102f90%22	https://static.wixstatic.com/media/ea26fd_d4735686797f4c20b0c1e8e94f7e7ca5~mv2.png/v1/fill/w_117,h_118,al_c,blur_3/ea26fd_d4735686797f4c20b0c1e8e94f7e7ca5~mv2.png	E:/Survey-Point-Project/static.wixstatic.com/media/ea26fd_d4735686797f4c20b0c1e8e94f7e7ca5_mv2.png/v1/fill/w_117,h_118,al_c,blur_3/ea26fd_d4735686797f4c20b0c1e8e94f7e7ca5_mv2.png	(from https://shilpakini1508.wixsite.com/mysite-1)
12:36:04	8673/8673	---M--	200	added ('OK')	image/png	etag:%22424e0b194fb1e7b8382fc7e908e08a9b%22	https://static.wixstatic.com/media/ea26fd_91cee6762c664548abb9f20784f613f9~mv2.png/v1/fill/w_117,h_118,al_c,blur_3/ea26fd_91cee6762c664548abb9f20784f613f9~mv2.png	E:/Survey-Point-Project/static.wixstatic.com/media/ea26fd_91cee6762c664548abb9f20784f613f9_mv2.png/v1/fill/w_117,h_118,al_c,blur_3/ea26fd_91cee6762c664548abb9f20784f613f9_mv2.png	(from https://shilpakini1508.wixsite.com/mysite-1)
12:36:04	5269/5269	---M--	200	added ('OK')	image/png	etag:%223975b654d63bc489dc85404f99710e90%22	http://static.wixstatic.com/media/0da768_0c5ce9e2ffa442bea0b79b690223a939~mv2.png	E:/Survey-Point-Project/static.wixstatic.com/media/0da768_0c5ce9e2ffa442bea0b79b690223a939_mv2.png	(from https://shilpakini1508.wixsite.com/mysite-1)
12:36:05	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2018%20Mar%202020%2007:06:03%20GMT	https://shilpakini1508.wixsite.com/mysite-1/robots.txt	E:/Survey-Point-Project/shilpakini1508.wixsite.com/mysite-1/robots.txt	(from https://shilpakini1508.wixsite.com/mysite-1/project-01)
12:36:05	927/927	---M--	200	added ('OK')	text/xml	etag:cb45b384289af57d991c15e0dd04a23a	https://shilpakini1508.wixsite.com/mysite-1/sitemap.xml	E:/Survey-Point-Project/shilpakini1508.wixsite.com/mysite-1/sitemap.xml	(from https://shilpakini1508.wixsite.com/mysite-1/project-01)
12:36:05	2935/2935	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2018%20Mar%202020%2007:06:04%20GMT	https://shilpakini1508.wixsite.com/mysite-1/feed.xml	E:/Survey-Point-Project/shilpakini1508.wixsite.com/mysite-1/feed.xml	(from https://shilpakini1508.wixsite.com/mysite-1/project-01)
12:36:07	2018/2018	---M--	200	added ('OK')	image/jpeg	date:Wed,%2018%20Mar%202020%2007:06:05%20GMT	https://static.wixstatic.com/media/ea26fd_cc42dc76969948c5a7764c2a8cf59ce0~mv2_d_3000_2000_s_2.jpg/v1/fill/w_128,h_85,al_c,q_80,usm_0.66_1.00_0.01,blur_2/ea26fd_cc42dc76969948c5a7764c2a8cf59ce0~mv2_d_3000_2000_s_2.jpg	E:/Survey-Point-Project/static.wixstatic.com/media/ea26fd_cc42dc76969948c5a7764c2a8cf59ce0_mv2_d_3000_2000_s_2.jpg/v1/fill/w_128,h_85,al_c,q_80,usm_0.66_1.00_0.01,blur_2/ea26fd_cc42dc76969948c5a7764c2a8cf59ce0_mv2_d_3000_2000_s_2.jpg	(from https://shilpakini1508.wixsite.com/mysite-1/project-01)
12:36:09	3112/3112	---M--	200	added ('OK')	image/jpeg	date:Wed,%2018%20Mar%202020%2007:06:07%20GMT	https://static.wixstatic.com/media/ea26fd_f69356b114c040378c5d0a6af43b3ccb~mv2_d_2768_1560_s_2.jpg/v1/fill/w_151,h_85,al_c,q_80,usm_0.66_1.00_0.01,blur_2/ea26fd_f69356b114c040378c5d0a6af43b3ccb~mv2_d_2768_1560_s_2.jpg	E:/Survey-Point-Project/static.wixstatic.com/media/ea26fd_f69356b114c040378c5d0a6af43b3ccb_mv2_d_2768_1560_s_2.jpg/v1/fill/w_151,h_85,al_c,q_80,usm_0.66_1.00_0.01,blur_2/ea26fd_f69356b114c040378c5d0a6af43b3ccb_mv2_d_2768_1560_s_2.jpg	(from https://shilpakini1508.wixsite.com/mysite-1/project-02)
12:36:10	3872/3872	---M--	200	added ('OK')	image/jpeg	date:Wed,%2018%20Mar%202020%2007:06:09%20GMT	https://static.wixstatic.com/media/ea26fd_ce80eff1c3414aefb36b436e40cfedf4~mv2_d_7360_4912_s_4_2.jpg/v1/crop/x_0,y_718,w_7360,h_2478/fill/w_252,h_85,al_c,q_80,usm_0.66_1.00_0.01,blur_2/ea26fd_ce80eff1c3414aefb36b436e40cfedf4~mv2_d_7360_4912_s_4_2.jpg	E:/Survey-Point-Project/static.wixstatic.com/media/ea26fd_ce80eff1c3414aefb36b436e40cfedf4_mv2_d_7/v1/crop/x_0,y_718,w_7360,h_2478/fill/w_252,h_85,al_c,q_80,usm_0.66_1.00_0.01,blur_2/ea26fd_ce80eff1c3414aefb36b436e40cfedf4_mv2_d_7360_49	(from https://shilpakini1508.wixsite.com/mysite-1/project-03)
